병/의원명,전화번호,주 소 지 정보,위도,경도
다나가정의원,031-212-2575,"경기도 수원시 영통구 동탄원천로1109번길 37, (매탄동, 한국아파트1차상가) 205호",37.2695708055,127.0569518797
다나소아청소년과의원,031-593-8270,"경기도 남양주시 늘을2로 27, (호평동, 이마트남양주점 5층) ",37.6550474690,127.2430529064
다나소아청소년과의원,031-855-1001,"경기도 의정부시 외미로 95, (호원동, 하나프라자) 305,306호",37.7245622334,127.0459614564
다나아365의원,031-759-1236,"경기도 성남시 수정구 산성대로 237-1, (신흥동) 줄리엣 빌딩 2층",37.4396514594,127.1437231748
다나움의원,031-754-7100,"경기도 성남시 수정구 수정로 174, (신흥동, 효산빌딩)  4층 ",37.4428484933,127.1393127753
다나은내과의원,02-6295-8255,"경기도 광명시 광명로 896, (광명동, 해솔빌딩)  4층 403호 ",37.4788751952,126.8545079073
다나을의원,031-563-8878,"경기도 구리시 검배로 30, (수택동) 2층 다나을의원",37.5984736397,127.1427231588
다나의원,031-527-5300,"경기도 남양주시 오남읍 진건오남로 812, 3층",37.6990127368,127.2026089600
다나이비인후과의원,031-233-8275,"경기도 화성시 봉담읍 와우로 20, 3층 301호",37.2152484977,126.9690398171
다나이비인후과의원,031-274-8642,"경기도 용인시 기흥구 강남동로 10, (구갈동, 강남피아) 203호",37.2712306296,127.1281569495
다나이비인후과의원,031-294-5075,"경기도 수원시 팔달구 일월로22번길 17, (화서동) ",37.2859662827,126.9807660860
다나이비인후과의원,031-719-5665,"경기도 성남시 분당구 돌마로 75, (금곡동, 미금프라자) 501호",37.3503891349,127.1104489319
다나이비인후과의원,031-733-2586,"경기도 성남시 중원구 금상로 18, (상대원동) 3층",37.4375162278,127.1597322385
다나이비인후과의원,031-943-7077,"경기도 파주시 와석순환로 72, (야당동, 홍원프라자) 402호",37.7106447532,126.7512603072
다니엘소아청소년과의원,031-948-1035,"경기도 파주시 미래로 612, (와동동) 미봉프라자 402호",37.7319623790,126.7513232148
다사랑내과의원,031-332-7582,"경기도 용인시 처인구 낙은로 38, (역북동) 2층",37.2407619733,127.1984514123
다사랑이비인후과의원,02-804-0171,"경기도 광명시 하안로 289, (하안동) 2층 202호",37.4616895976,126.8801892621
다사랑이비인후과의원,031-979-0155,"경기도 고양시 덕양구 중앙로 452, (행신동, 메디스타원) 301호",37.6185516717,126.8452267625
다사랑중앙병원,031-340-5000,"경기도 의왕시 등칙골1길 22, (오전동) ",37.3531250323,126.9738459017
다산길내과의원,031-510-7501,"경기도 남양주시 다산중앙로146번길 22, (다산동) 가하프라자 5층 501호",37.6258140183,127.1548158213
다산두리이비인후과의원,031-552-0275,"경기도 남양주시 다산순환로 350, (다산동) 503호 및 504호",37.6256261548,127.1553701617
다산민내과의원,031-523-2775,"경기도 남양주시 다산중앙로123번길 22-8, (다산동) 리더스퀘어 305~308호",37.6242710583,127.1510081959
다산바른내과의원,031-562-7070,"경기도 남양주시 다산중앙로172번길 36, (다산동) 노블레스상가4층 다산바른내과",37.6282104673,127.1560417614
다산소연산부인과의원,031-523-2661,"경기도 남양주시 다산중앙로123번길 13, (다산동)  제이타워 6층 601,602,603,604호 ",37.6235377977,127.1519500785
다산수내과의원,031-553-5455,"경기도 남양주시 다산중앙로123번길 13, (다산동)  3층 ",37.6235377977,127.1519500785
다산연세이비인후과의원,031-562-5075,"경기도 남양주시 다산순환로 420, (다산동) 성산플레이스3, 306호 다산 연세이비인후과",37.6200071027,127.1577169972
다산연합의원,031-524-9924,"경기도 남양주시 경춘로 466, (다산동) 3층",37.6093577121,127.1650209650
다산의료소비자생활협동조합정석소아청소년과병원,031-573-6678,"경기도 남양주시 진접읍 해밀예당1로 221, (지안빌딩) 6,7,8층",37.7206501139,127.2027253840
다산정내과의원,031-551-0400,"경기도 남양주시 다산지금로 142, (다산동) 3층 304, 305호",37.6002914650,127.1734709214
다산지아이내과의원,031-567-7775,"경기도 남양주시 경춘로 368, (다산동) 브릭스타워 2층 207호",37.6046087305,127.1556399075
다산진소아청소년과의원,031-566-5575,"경기도 남양주시 다산중앙로123번길 22-30, (다산동) 다산 헤리움 그랑비스타 2차 2층 217,218호",37.6254944507,127.1521046097
다산하나이비인후과의원,031-554-0202,"경기도 남양주시 다산중앙로 109, (다산동)  한강르네상스 3층 304호 및 305호 ",37.6229363386,127.1534513404
다선의원,031-243-3375,"경기도 수원시 장안구 정조로 1039, (송죽동) ",37.2987513293,127.0063564846
다솔내과의원,031-293-0971,"경기도 수원시 권선구 탑동로 9, (탑동) 2층",37.2696728686,126.9749953591
다솜가정의원,032-682-9400,"경기도 부천시 역곡로490번길 108, (고강동) 2층",37.5275779339,126.8219488099
다솜소아청소년과의원,02-6241-7588,"경기도 과천시 별양상가3로 11, (별양동) 이마트 과천점 8층 8호",37.4262955749,126.9918606778
다솜소아청소년과의원,031-365-5722,"경기도 시흥시 배곧4로 99, (정왕동, 로얄페스타)  404호 ",37.3740666725,126.7342581525
다솜연세내과소아청소년과의원,031-912-3799,"경기도 고양시 일산서구 일현로 123, (탄현동, 휴엔코아) 302~4호",37.6979191081,126.7654887418
다솜의원,031-401-7815,"경기도 안산시 상록구 화랑로 501, (성포동) 예술프라자 302호",37.3208751440,126.8438702318
다솜의원,031-721-7575,"경기도 성남시 수정구 남문로 110, (태평동, 영성빌딩) 2층",37.4473401452,127.1389233078
다솜이비인후과 의원,031-795-7530,"경기도 하남시 미사강변대로 76, (풍산동, 미사베스트프라자)  4층 401,402호 ",37.5566394745,127.1876429731
다솜이비인후과의원,031-337-2324,"경기도 용인시 처인구 백옥대로 1112, (김량장동) 305호",37.2346682999,127.2094889355
다온이비인후과의원,031-912-4431,"경기도 고양시 일산서구 중앙로 1426, (주엽동, 일송노블레스) 410,411호",37.6702585946,126.7619313566
다인병원,031-8014-1312,"경기도 수원시 장안구 창룡대로 159, (연무동) ",37.2919224010,127.0275236683
다정산부인과의원,031-748-6465,"경기도 성남시 중원구 산성대로 518, (은행동) 4층",37.4570185708,127.1639423996
다정한내과의원,031-274-8331,"경기도 용인시 기흥구 한보라1로 6, (보라동, 제일프라자) 301호",37.2542697098,127.1092637559
다함이비인후과의원,02-3158-5959,"경기도 고양시 덕양구 향기4로 1, (향동동) 중흥메디프라자 301~302호",37.6006924486,126.8951969387
닥터권이비인후과의원,031-265-3694,"경기도 용인시 기흥구 죽전로 50, (보정동) 센타프라자 304호",37.3202927053,127.1142630844
닥터금소아청소년과의원,031-765-5379,"경기도 광주시 태전동로 23, (태전동) 메디프라자 3층 303호",37.3866584472,127.2339738716
닥터김이비인후과의원,031-714-6379,"경기도 성남시 분당구 내정로 29, (정자동, 금곡프라자) 201호",37.3627844071,127.1145067387
닥터노바름의원,032-321-8075,"경기도 부천시 삼작로 22, (삼정동, 부천테크노파크)  관리동 1,2층 ",37.5190203607,126.7623313471
닥터반마취통증의학과의원,031-232-0032,"경기도 수원시 영통구 중부대로 238, (매탄동)  2,4층 ",37.2750229027,127.0418645559
닥터우신경외과의원,031-973-3500,"경기도 고양시 덕양구 토당로 54, (토당동)  충정회관 2층 ",37.6207517542,126.8203991755
닥터장가정의학과의원,031-464-8777,"경기도 안양시 만안구 충훈로 14, (박달동, 한양수자인에듀파크)  상가동 2층 206,207,208호 ",37.4030369564,126.9032969057
닥터최의연세마음상담의원,031-975-7201,"경기도 고양시 일산서구 고봉로 291, (일산동) ",37.6852396705,126.7772370732
닥터킴의연세패밀리의원,031-906-8575,"경기도 고양시 일산동구 중앙로 1130, (마두동, 강촌마을6단지아파트)  (마두동,강촌마을상가동A 2층 9호, 10호일부) ",37.6501177027,126.7802071205
닥터홍이비인후과의원,031-628-6750,"경기도 성남시 분당구 대왕판교로 660, (삼평동, 유스페이스1) 316호",37.4004659332,127.1068126489
단비의원,031-364-8282,"경기도 시흥시 배곧3로 96, (정왕동, M-플러스) 507호",37.3697888062,126.7303221938
단샘의원,031-856-9057,"경기도 양주시 고읍로 10, (고읍동) ",37.8019278332,127.0787542105
달빛이비인후과의원,031-994-8976,"경기도 고양시 덕양구 화중로 205, (화정동) 화수빌딩 101호",37.6453159339,126.8337408143
달팽이이비인후과의원,031-291-8087,"경기도 수원시 권선구 금곡로 100, (금곡동, 칠보프라자) 303~304호",37.2738747593,126.9412895788
당수성모내과의원,031-419-0377,"경기도 수원시 권선구 당진로 29-4, (당수동, 기와프라자) 301,302호",37.2915972899,126.9401914601
대건효도병원,031-671-0044,"경기도 안성시 양성면 미리내성지로 386-27, 386",37.1376822645,127.2614692951
대곶중앙의원,031-981-9990,"경기도 김포시 대곶면 율생중앙로 24, 24",37.6503831495,126.5833760659
대동내과의원,031-232-7831,"경기도 용인시 기흥구 흥덕1로 5-8 (영덕동, 대동메디칼)",37.2696616757,127.0666998114
대디맘소아청소년과의원,031-984-0645,"경기도 김포시 김포한강2로 232, (장기동, 한강노블레스) 303호",37.6455905745,126.6607119947
대성의원,031-256-1100,"경기도 수원시 팔달구 중부대로 33, (지동) 대성빌딩 2층",37.2754616726,127.0204292402
대아의료재단한도병원,031-8040-1114,"경기도 안산시 단원구 선부광장로 103, (선부동)  ",37.3340551147,126.8076194360
대야미중앙의원,031-437-7500,"경기도 군포시 대야1로22번길 3, (대야미동) 201호",37.3276900930,126.9174871378
대원연세이비인후과의원,031-735-7575,"경기도 성남시 중원구 금상로 4-1, (상대원동) ",37.4366772325,127.1587739599
대인외과내과의원,031-778-7026,"경기도 성남시 분당구 성남대로779번길 26, (이매동) 서안빌딩 2,3층",37.3995058894,127.1256971806
대진의료재단 분당제생병원,031-779-0123,"경기도 성남시 분당구 서현로180번길 20, (서현동) ",37.3882035182,127.1217783421
대한산업보건협회 경기북부의원,031-828-3810,"경기도 의정부시 범골로 142, (의정부동) ",37.7357083216,127.0410868272
대한산업보건협회부설수원의원,031-267-4400,"경기도 수원시 팔달구 인계로 126, (인계동) 수원미디어시티",37.2671423387,127.0312610120
대한산업보건협회부설안산성모의원,031-498-1063,"경기도 안산시 단원구 신길로1길 86, (신길동) 신우프라자 2층 안산성모의원",37.3305685429,126.7869319096
더 건강한내과의원,031-775-7588,"경기도 양평군 양평읍 시민로 6-1, 2층",37.4889844480,127.4928599263
더 바른병원,031-796-9500,"경기도 하남시 신장로 93-1, (신장동) ",37.5367711162,127.2073645790
더건강한내과의원,031-397-7582,"경기도 군포시 산본로323번길 16-14, (산본동) 센타빌딩 A동 701호",37.3596775290,126.9320447514
더건강한내과의원,031-536-7582,"경기도 포천시 구절초로 28, (신읍동, 동평빌딩)  3층 ",37.8963969888,127.2019478423
더나은내과의원,031-744-3339,"경기도 성남시 수정구 산성대로 439, (단대동)  4층 ",37.4512468605,127.1592687937
더나은내과의원,031-938-5392,"경기도 고양시 덕양구 백양로 51, (화정동, 네이버타운) 604호",37.6303059255,126.8332482679
더네이처산부인과의원,031-668-3579,"경기도 평택시 송탄로 260, (서정동)  4,5,6,7,11층 ",37.0667833499,127.0589169908
더네이처소아청소년과의원,031-665-9735,"경기도 평택시 송탄로 260, (서정동) 3층",37.0667833499,127.0589169908
더드림요양병원,031-853-7919,"경기도 의정부시 용민로 198, (민락동) 월드본타워 4,8,9,10층",37.7461609820,127.0939685756
더드림의료소비자생활협동조합미래요양병원,031-487-1144,"경기도 안산시 단원구 선부광장1로 38, (선부동, 상록타운) 401~406호",37.3366370007,126.8093913868
더맑은내과의원,031-862-1310,"경기도 양주시 회천남로 88, (옥정동) M타워 6층 601,602,603,604호",37.8185483098,127.0927953929
더맑은의원,031-335-0330,"경기도 용인시 처인구 금령로 116, (김량장동,용인타워 301,302,502,503호) ",37.2352173228,127.2092249507
더맑은이비인후과의원,031-733-5002,"경기도 성남시 수정구 수정로 291, (신흥동) 포레스티아 서문 상가 3층 302호  (더맑은이비인후과의원)",37.4509447247,127.1469799645
더바른신경외과의원,031-354-7599,"경기도 화성시 향남읍 발안로 111, 3층전체, 5층일부층",37.1316847208,126.9227701000
더베스트내과의원,031-487-1119,"경기도 안산시 단원구 광덕대로 154, (고잔동) 로데오타운 A동 202,205,216-1,217,218,220~222호",37.3101707387,126.8307346208
더블유내과의원,031-708-6600,"경기도 광주시 오포읍 신현로 9, 2층",37.3601044232,127.1482297569
더블유진병원,032-321-1433,"경기도 부천시 신흥로 244, (중동)  지하1층,1~5층 ",37.5054502974,126.7759898540
더샵조은의원,031-341-9119,"경기도 안양시 동안구 흥안대로145번길 145, (호계동) 3층 305,306호",37.3768836102,126.9565186678
더서울이비인후과의원,031-795-8375,"경기도 하남시 미사강변동로 127, (망월동) 경서타워 406,407호",37.5661791657,127.1910442461
더쉼가정의학과의원,031-385-8792,"경기도 안양시 동안구 시민대로 230, (관양동) 평촌아크로타워 A동 3층 310일부호",37.3923133697,126.9565161941
더스마트의원,031-364-8754,"경기도 군포시 송부로74번길 3-40, (도마교동) 금강프라자 202,203호",37.3162410320,126.9242323767
더우리들신경외과의원,031-440-9006,"경기도 안양시 동안구 시민대로 187, (비산동, 안양건설타워) 401,402호",37.3917835288,126.9517671359
더원요양병원,031-282-8123,"경기도 용인시 기흥구 용구대로 2252, (신갈동) 더원병원",37.2875412950,127.1088427192
더웰병원,031-202-1144,"경기도 수원시 영통구 봉영로 1620, (영통동, 대우월드마크영통 3,5,6,7,8층) ",37.2550197679,127.0756457361
더웰이비인후과의원,031-213-3586,"경기도 수원시 영통구 인계로 220, (매탄동) ",37.2648797693,127.0414163347
더이비인후과의원,031-504-5335,"경기도 시흥시 승지로59번길 12, (능곡동) 시티타워 2층 204,205,206호",37.3688929302,126.8090334532
더조은내과의원,02-897-5755,"경기도 광명시 범안로 1059, (하안동) 유창빌딩 5층",37.4630954927,126.8800580471
더조은내과의원,031-905-8575,"경기도 고양시 일산동구 숲속마을로 26, (풍동, 풍동프라자 3층) ",37.6673221965,126.8003808351
더조은서울내과의원,031-402-5995,"경기도 안산시 상록구 예술광장로 35, (월피동, 에스엘타운) 303호",37.3281799423,126.8477043642
더조은정형외과의원,031-853-1296,"경기도 의정부시 천보로 56, (민락동)  4층 402호 ",37.7448483962,127.0952720591
더좋은소아청소년과의원,031-897-7588,"경기도 용인시 기흥구 보정로 32, (보정동, 지젤스포츠클럽) 207호",37.3140170429,127.1111021149
더착한365의원,031-365-3333,"경기도 시흥시 은계중앙로 247, (은행동)  3층 301~331호, 334~341호 ",37.4458655128,126.8032500817
더착한연세365의원,031-414-7533,"경기도 시흥시 수풀안길 22, (조남동) 월컴시티 3층 301~305호",37.3811861194,126.8627883780
더클래식산부인과의원,031-431-7110,"경기도 시흥시 중심상가2길 2, (정왕동)  4층 ",37.3459490888,126.7357781559
더편한소사요양병원,032-349-8090,"경기도 부천시 소사로 236, (소사본동) 이레빌딩 1층일부,4층일부,5층,6층",37.4793164712,126.7958932175
더플러스병원,031-763-7582,"경기도 광주시 경안로 40, (경안동) ",37.4095155628,127.2562051126
덕소서울정형외과의원,031-577-8275,"경기도 남양주시 와부읍 덕소로97번길 6, (덕소빌딩 5층, 6층) ",37.5856513801,127.2129253183
덕소성외과의원,031-577-6596,"경기도 남양주시 와부읍 덕소로 87-1, 2층",37.5863826717,127.2123490737
덕정의원,031-858-0003,"경기도 양주시 화합로 1339-3, (덕정동) ",37.8456723032,127.0625767678
도담소아청소년과의원,031-338-0714,"경기도 용인시 처인구 명지로40번길 13, (역북동) 3층 302호",37.2323505957,127.1868966020
도담소아청소년과의원,031-655-0852,"경기도 안성시 공도읍 공도로 132, 3층 304호",37.0014724082,127.1750810141
도담소아청소년과의원,031-984-5567,"경기도 김포시 고촌읍 수기로 115, 센트럴타워 4층 404호",37.5934718192,126.7636060620
도당삼성의원,032-678-8119,"경기도 부천시 삼작로 287, (도당동) 2층",37.5202960482,126.7934017109
도도스이비인후과의원,031-431-6336,"경기도 시흥시 배곧3로 96, (정왕동) 4층 407호(일부)~408호",37.3697888062,126.7303221938
도래울아이랑소아청소년과의원,031-966-2220,"경기도 고양시 덕양구 도래울로 52, (도내동, 센터프라자) 3층 301호",37.6303744495,126.8694775679
도심의원,031-521-2360,"경기도 남양주시 와부읍 덕소로 228, (재우빌딩)  201호 ",37.5793994895,127.2213971989
도일의원,031-495-8738,"경기도 시흥시 군자로 514, (거모동, 거모프라자) 301호",37.3442944391,126.7848278785
독일내과의원,031-998-9810,"경기도 김포시 풍무로 25, (풍무동, 센트럴메디프라자) 302호",37.5980423954,126.7201967103
동국대학교일산불교병원,031-961-7000,"경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원) ",37.6764354232,126.8055644824
동남내과의원,031-257-5898,"경기도 수원시 팔달구 팔달로 54-1, (고등동) 2층",37.2735905061,127.0024968503
동두천제일요양병원,031-860-8800,"경기도 동두천시 광암로 7, (광암동) 동두천제일요양병원",37.8949246562,127.0826240876
동두천중앙성모병원,031-863-0550,"경기도 동두천시 동광로 53 (생연동, 중앙성모병원)",37.9088687786,127.0540194858
동문연세소아과의원,031-812-3651,"경기도 고양시 덕양구 화정로 47, (화정동, 동원텔)  3층 303호 ",37.6351964680,126.8314074137
동백내과의원,031-274-7111,"경기도 용인시 기흥구 동백5로 21-11, (중동, 훼미리프라자 502호)  ",37.2773880023,127.1526017614
동백미즈산부인과의원,031-8006-2030,"경기도 용인시 기흥구 동백중앙로 283, (중동, 골드프라자 A동 7층) ",37.2780130791,127.1534878240
동백삼성내과의원,031-693-8998,"경기도 용인시 기흥구 동백중앙로 356, (동백동, 지우프라자) 2층",37.2824168249,127.1596130385
동백성루카병원,031-548-0010,"경기도 용인시 기흥구 동백죽전대로 315-29, (중동) ",37.2657658955,127.1506634465
동백수이비인후과의원,031-287-0036,"경기도 용인시 기흥구 동백5로 17, (중동, 동백레이크시티플라자 404호) ",37.2767133001,127.1519042523
동백요양병원,031-284-7577,"경기도 용인시 기흥구 동백중앙로 269, (중동) 8층",37.2767008299,127.1530513926
동백제일의원,031-286-9886,"경기도 용인시 기흥구 언동로217번길 45-1, (중동) ",37.2769423547,127.1487742964
동부정형외과의원,031-567-3400,"경기도 남양주시 경춘로 452, (지금동) ",37.6088864069,127.1635958659
동산연세소아청소년과의원,02-381-7534,"경기도 고양시 덕양구 동산2로 1, (동산동) 203호",37.6448503636,126.8861586047
동산의원,031-662-5551,"경기도 평택시 탄현로 300, (지산동) ",37.0793776289,127.0549593069
동산의원,031-731-2900,"경기도 성남시 중원구 둔촌대로 379, (상대원동, 금풍빌딩)  3층 ",37.4335808872,127.1588460600
동서신경외과의원,031-773-6805,"경기도 양평군 양평읍 시민로 36, 1층",37.4900625772,127.4957684770
동서외과의원,031-433-8275,"경기도 시흥시 정왕대로 174, (정왕동, 광개토빌딩) 301호,306-308호",37.3481358795,126.7334878767
동서울의원,031-592-5155,"경기도 남양주시 금곡로 52, (금곡동) ",37.6338808191,127.2089347240
동서의원,031-246-9661,"경기도 수원시 팔달구 중부대로39번길 6, (지동, 2층) ",37.2754878058,127.0214312823
동서의원,031-335-7593,경기도 용인시 처인구 이동읍 경기동로687번길 5 ,37.1403082871,127.1969414047
동아가정의원,031-743-2194,"경기도 성남시 중원구 박석로33번길 13, (상대원동) 2층",37.4358530565,127.1643245776
동안내과의원,031-455-7575,"경기도 안양시 동안구 관평로 317, (관양동, 한림메디빌딩) 2층",37.4048229689,126.9572465059
동안산병원,031-410-1116,"경기도 안산시 상록구 월피로 88, (월피동) ",37.3359128336,126.8530266813
동안성병원,031-673-3800,경기도 안성시 일죽면 금일로 1-38 ,37.0563781958,127.4735577764
동원노인전문병원,031-870-0708,"경기도 동두천시 탑신로 522, (탑동동) ",37.9000556768,127.1360995908
동원병원,031-870-0701,"경기도 동두천시 탑신로 522, (탑동동) ",37.9000556768,127.1360995908
동원요양병원,031-850-7000,"경기도 고양시 일산동구 일산로 439, (정발산동) 지하1~2층 지상2~5층호",37.6729575484,126.7779995835
동천연세소아청소년과의원,031-276-3188,"경기도 용인시 수지구 수풍로131번길 2, (동천동, 에덴파크) 303호",37.3356634390,127.0933851800
동천이안소아청소년과의원,031-896-0777,"경기도 용인시 수지구 손곡로 100, (동천동,훼미리프라자) 303호",37.3363910179,127.0916613756
동탄365키즈소아청소년과의원,031-373-3889,"경기도 화성시 동탄순환대로20길 124, (목동) 우성스타파크 A동 508,509호",37.1826525526,127.1246944694
동탄굿모닝소아청소년과의원,031-372-0836,"경기도 화성시 동탄대로시범길 148-54, (청계동, 헤븐리원) 3층 301호",37.2005525541,127.1137199807
동탄그레이스소아청소년과의원,031-375-1271,"경기도 화성시 동탄순환대로 707, (영천동) 대성프라자 201호",37.2076133365,127.1096443567
동탄마취통증의학과의원,031-378-0133,"경기도 화성시 동탄오산로 82, (오산동, 동탄역퍼스트프라자) 305호",37.1981484623,127.0971081674
동탄맑은이비인후과의원,031-375-5375,"경기도 화성시 동탄순환대로 263, (산척동) 풍산리치안타워 306,307호",37.1711526295,127.1185789722
동탄미소소아청소년과의원,031-375-9393,"경기도 화성시 동탄대로시범길 142, (청계동, 센텀프라자) 403호",37.1999195238,127.1133874179
동탄삼성의원,031-8077-2338,"경기도 화성시 동탄신리천로 278, (오산동) 303,304호",37.1833723393,127.1088524162
동탄삼성이비인후과의원,031-374-1003,"경기도 화성시 동탄순환대로 127-5, (산척동) 우성센트럴타워 4층 408~410호",37.1660899089,127.1072809752
동탄서울내과의원,031-831-8363,"경기도 화성시 동탄순환대로 127-5, (산척동)  우성센트럴타워 503~511호 ",37.1660899089,127.1072809752
동탄서울아산내과의원,031-377-2355,"경기도 화성시 동탄순환대로 686, (영천동) 302,303호",37.2063215429,127.1117206526
동탄서울이비인후과의원,031-613-1999,"경기도 화성시 동탄지성로 133, (능동, 덕천프라자) 303호",37.2091201960,127.0607339524
동탄성모병원,031-375-1122,"경기도 화성시 동탄순환대로 127-19, (산척동) 6,7층",37.1674052909,127.1072593027
동탄성모이비인후과의원,031-375-6697,"경기도 화성시 동탄순환대로 686, (영천동)  501, 502호 ",37.2063215429,127.1117206526
동탄송도항외과의원,031-374-8822,"경기도 화성시 동탄대로 489, (오산동)  우성KTX타워 4층 401,402호 ",37.1973592693,127.0982637087
동탄수내과의원,031-8043-5445,"경기도 화성시 동탄대로시범길 146, (청계동, 포트센트럴시티) 4층 401,402호",37.2003377641,127.1131337002
동탄시티병원,031-8015-3333,경기도 화성시 동탄지성로 113 (반송동),37.2084803681,127.0626221817
동탄아이언소아청소년과의원,031-378-4939,"경기도 화성시 동탄대로시범길 261, (청계동)  리더스프라자 203호 ",37.2016986525,127.1021940412
동탄에스소아청소년과의원,031-372-2544,"경기도 화성시 동탄순환대로18길 16, (목동) 센타프라자 404~406호",37.1831217611,127.1243232721
동탄역아주시원한이비인후과의원,031-377-5082,"경기도 화성시 동탄대로 489, (오산동) 우성KTX타워 304,305,904일부호",37.1973592693,127.0982637087
동탄연세소아청소년과의원,031-613-6080,"경기도 화성시 동탄중앙로 200, (반송동, 메타폴리스) 센터포인트몰 B블럭 3층 312-1,313호",37.2027757262,127.0689474209
동탄연세의원,031-898-9595,"경기도 화성시 동탄원천로 382-46, (반월동) ",37.2230229351,127.0584085623
동탄연세이비인후과의원,031-8003-7582,"경기도 화성시 동탄지성로 141, (능동, 아크리아빌딩) 403호",37.2094238358,127.0598768949
동탄이소아청소년과의원,031-8055-8737,"경기도 화성시 동탄순환대로 263, (산척동) 풍산리치안타워 301호",37.1711526295,127.1185789722
동탄조은내과의원,031-373-7558,"경기도 화성시 동탄순환대로 706, (영천동, 서건에듀프라자2동)  302.303.304호 ",37.2078124888,127.1105919362
동탄키즈웰소아청소년과의원,031-376-6619,"경기도 화성시 동탄대로 198, (산척동) 드림타워 4층 406호",37.1721233573,127.1073075202
동탄호수소아청소년과의원,031-308-7582,"경기도 화성시 동탄순환대로 127-17, (산척동) 우성메디피아 511~514호",37.1670008890,127.1072678511
두드림내과의원,031-843-3305,"경기도 양주시 고읍남로 2, (광사동) 해동월드타워5층 501호,502호",37.7960074057,127.0804113896
두리소아과의원,031-932-8222,"경기도 고양시 일산동구 강촌로 157, (마두동, 서울코아 305호) ",37.6536709198,126.7909738025
두리연합의원,031-411-0606,"경기도 안산시 단원구 라성로 36, (원곡동) B동 201호",37.3271908120,126.8005030396
두리이비인후과의원,031-215-5075,"경기도 용인시 기흥구 흥덕중앙로 59, (영덕동, 용인흥덕노블레스흥덕노블레스) 404호",37.2764933333,127.0737418246
두리이비인후과의원,031-296-8222,"경기도 수원시 권선구 금곡로 106, (금곡동, 우성메디피아) 호매실택지개발지구준주거2-3블럭304호",37.2739733214,126.9419968997
두리이비인후과의원,031-334-2004,"경기도 용인시 처인구 명지로60번길 8-10, (역북동) 광장프라자 3층 2호",37.2316046782,127.1878848320
두리이비인후과의원,031-378-2204,"경기도 오산시 경기대로 155, (원동, 신한프라자A) 302,303,304,403호",37.1386456909,127.0731109114
두리이비인후과의원,031-397-7577,"경기도 군포시 산본천로 43-6, (산본동, 한숲스포츠센터) 2층",37.3606745715,126.9281743191
두리이비인후과의원,031-431-7222,"경기도 시흥시 정왕대로 220, (정왕동) 403,404호",37.3454916557,126.7376894149
두리이비인후과의원,031-534-7772,"경기도 포천시 중앙로 125, (신읍동) ",37.8975822766,127.2032008161
두리이비인후과의원,031-566-5075,"경기도 구리시 경춘로 249, (인창동, 동원빌딩) 407,408호",37.6020865535,127.1426951815
두리이비인후과의원,031-699-6161,"경기도 하남시 미사강변남로 103, (망월동) 미사랑데르Ⅲ 4층 403~405호",37.5610822617,127.1932982607
두리이비인후과의원,031-714-5050,"경기도 성남시 분당구 성남대로 170, (금곡동, 한국프라자)  603호 ",37.3511850758,127.1095095860
두리이비인후과의원,031-722-3777,"경기도 성남시 수정구 위례동로 141, (창곡동) 우성메디피아 305호 일부",37.4726678512,127.1501197894
두리이비인후과의원,031-8077-9661,"경기도 화성시 수노을중앙로 146, (새솔동)  호평프라자 4층 ",37.2840188026,126.8188667941
두리이비인후과의원,031-868-8766,"경기도 양주시 옥정로 196, (옥정동) 파스텔시티 604,605호",37.8189751570,127.0921401482
두리이비인후과의원,031-875-2275,"경기도 의정부시 용민로 483, (민락동) 보광프라자 301,302호",37.7507562105,127.1180814515
두리이비인후과의원,031-946-2115,"경기도 파주시 미래로 371, (동패동,현대프라자)) 1001,1002호 (동패동, 씨티타워 외 와석순환로 125, 504호",37.7110848955,126.7458607772
두리이비인후과의원,031-975-8822,"경기도 고양시 일산동구 고양대로 739, (중산동,외1필지 201, 202호, 203호일부) ",37.6828887001,126.7783565692
두리이비인후과의원,031-996-8275,"경기도 김포시 김포한강8로 378, (구래동, 웅신프라자)  7층 701,702,703호 ",37.6436586770,126.6270101746
두리이비인후과의원,032-666-1900,"경기도 부천시 부천로 20, (심곡동) 삼영빌딩 2층일부",37.4860373757,126.7835526300
두리이비인후과의원 남동탄점,031-376-7581,"경기도 화성시 동탄대로 198, (산척동) 드림타워 306호,602호",37.1721233573,127.1073075202
두리이비인후과의원수원점,031-247-2275,"경기도 수원시 장안구 만석로19번길 29, (천천동, 부강프라자) 502,503호",37.2966080802,126.9831163981
두윤가정의원,032-214-4809,"경기도 부천시 신상로 54, (상동, 목련마을) 2,3층 201-1,305호",37.4938987745,126.7476904280
두진웅가정의학과의원,031-757-7582,"경기도 성남시 수정구 남문로 106, (태평동) 2층",37.4471625755,127.1382915929
둘이이비인후과의원,031-227-0191,"경기도 화성시 봉담읍 동화길 93-2, (제이스프라자) 401호",37.2162868577,126.9591935093
드림365소아청소년과의원,031-863-9090,"경기도 양주시 회천남로 92, (옥정동) 센타프라자 606호",37.8185684110,127.0922092634
드림내과의원,031-431-7788,"경기도 시흥시 역전로 292, (정왕동) 2층",37.3521045115,126.7398293924
드림메디 임승길내과의원,031-244-8890,"경기도 수원시 장안구 정조로 925, (영화동) 2층",37.2901232717,127.0129081965
